location,url_location,hotel_name,hotel_lat,hotel_lon,hotel_scoring,scoring_comment,hotel_description,hotel_link,daily_temp_day,daily_temp_day_fl,daily_pop,daily_uvi,daily_pop_inv
Chateau du Haut Koenigsbourg,https://www.booking.com/searchresults.fr.html?ss=Chateau du Haut Koenigsbourg+France,B&B / Chambre d'hôtes Maison d'Hôtes Les Jardins de Madeleine,48.368736,7.425849,9.9,Exceptionnel,"Située à Bernardvillé, à 34 km de Riquewihr, la Maison d'Hôtes Les Jardins de Madeleine propose un jardin et une connexion Wi-Fi gratuite. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/les-jardins-de-madeleine-room-2.fr.html?label=gen173nr-1FCAQoggJCKnNlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgC9brZhgbAAgHSAiQxZjU3NjNkNy03OWQwLTQxNTYtYTUxNy0wMGE1NThkMTgzMmLYAgXgAgE;sid=ac791a20b287babe9fcc09f7f15a18a4;dest_id=204055;dest_type=landmark;group_adults=2;group_children=0;hapos=17;hpos=17;no_rooms=1;sr_order=popularity;srepoch=1624661365;srpvid=e651a07a4d7700f8;ucfs=1&;selected_currency=EUR#topanchor,15.968571428571428,15.297142857142857,0.19285714285714287,3.4857142857142853,0.8071428571428572
Eguisheim,https://www.booking.com/searchresults.fr.html?ss=Eguisheim+France,Maison de vacancesGITE LE COQ ROUGE,48.04171,7.3056927,9.9,Exceptionnel,"Offrant une vue sur le jardin, le GITE LE COQ ROUGE propose un hébergement avec un jardin et une terrasse, à environ 300 mètres du marché de Noël d'Eguisheim. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/gite-le-coq-rouge.fr.html?label=gen173nr-1FCAQoggJCF3NlYXJjaF9lZ3Vpc2hlaW0gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuALIu9mGBsACAdICJDI5YWFlMjg3LTljMzItNGUyZC1hYTdjLWFiMmFhMTQ4MjdlNdgCBeACAQ;sid=f612a35a6bb9370bf30458d313ff82f0;dest_id=-1425030;dest_type=city;group_adults=2;group_children=0;hapos=2;hpos=2;no_rooms=1;sr_order=popularity;srepoch=1624661448;srpvid=142ba0a4bdab0042;ucfs=1&;selected_currency=EUR#topanchor,19.007142857142856,18.66,0.18,3.4857142857142853,0.8200000000000001
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement T2 VUE IMPRENABLE SUR CASSIS,43.214622,5.534773,9.8,Exceptionnel,"Situé à Cassis, à 300 mètres de Bestouan, le T2 VUE IMPRENABLE SUR CASSIS propose un hébergement avec un casino, une connexion Wi-Fi gratuite et une cuisine commune. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/t2-vue-imprenable-sur-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=20;hpos=20;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Montauban,https://www.booking.com/searchresults.fr.html?ss=Montauban+France,Maison d'hôtes Manoir de la Gravette & Table d'Hôtes,44.04904,1.3438835,9.8,Exceptionnel,"Situé à Montauban, Le Manoir de la Gravette & Table d'Hôtes dispose d'une piscine extérieure ouverte en saison, d'un bar et d'un salon commun. Il possède également un parc d’un hectare et une...hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.fr.html?label=gen173nr-1FCAQoggJCF3NlYXJjaF9tb250YXViYW4gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKDwtmGBsACAdICJDk1NzczY2I2LTU2OTEtNDIzNS05OWRhLTE0MzFiOGEwMmU1ZdgCBeACAQ;sid=160668dbed6761e9047b18cc9f2016b3;dest_id=-1452421;dest_type=city;group_adults=2;group_children=0;hapos=8;hpos=8;no_rooms=1;sr_order=popularity;srepoch=1624662275;srpvid=4997a24152d3008f;ucfs=1&;selected_currency=EUR#topanchor,19.315714285714286,19.214285714285715,0.8514285714285714,4.47,0.14857142857142858
Chateau du Haut Koenigsbourg,https://www.booking.com/searchresults.fr.html?ss=Chateau du Haut Koenigsbourg+France,Séjour chez l'habitant Villa Grimm,48.24405,7.177244,9.8,Exceptionnel,"Située à Sainte-Marie-aux-Mines, en Alsace, la Villa Grimm dispose d'une terrasse et offre une vue sur le jardin. Vous séjournerez à 24 km de Riquewihr. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/villa-grimm.fr.html?label=gen173nr-1FCAQoggJCKnNlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgC9brZhgbAAgHSAiQxZjU3NjNkNy03OWQwLTQxNTYtYTUxNy0wMGE1NThkMTgzMmLYAgXgAgE;sid=ac791a20b287babe9fcc09f7f15a18a4;dest_id=204055;dest_type=landmark;group_adults=2;group_children=0;hapos=10;hpos=10;no_rooms=1;sr_order=popularity;srepoch=1624661365;srpvid=e651a07a4d7700f8;ucfs=1&;selected_currency=EUR#topanchor,15.968571428571428,15.297142857142857,0.19285714285714287,3.4857142857142853,0.8071428571428572
Gorges du Verdon,https://www.booking.com/searchresults.fr.html?ss=Gorges du Verdon+France,B&B / Chambre d'hôtes L'Establoun,43.76942,5.9515014,9.8,Exceptionnel,"Offrant une vue sur sa piscine extérieure, L'Establoun est situé à Saint-Martin-de-Brômes. Cet hébergement climatisé se trouve à 29 km de Moustiers-Sainte-Marie. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/l-39-establoun.fr.html?label=gen173nr-1FCAQoggJCHnNlYXJjaF9nb3JnZXMgZHUgdmVyZG9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCxL3ZhgbAAgHSAiQyZTZkNjNlOS1mYzJlLTRhZDYtOWQ5Zi0xYTU5Njc1YjQzNmTYAgXgAgE;sid=e25390804f5267ed0f4590117a7265ce;dest_id=2746;dest_type=region;group_adults=2;group_children=0;hapos=6;hpos=6;no_rooms=1;sr_order=popularity;srepoch=1624661700;srpvid=7a4ea1222cbf0094;ucfs=1&;selected_currency=EUR#topanchor,19.57,19.055714285714288,0.5771428571428572,5.299999999999999,0.4228571428571428
Eguisheim,https://www.booking.com/searchresults.fr.html?ss=Eguisheim+France,Appartement Fleur de Vigne,48.046112,7.3051634,9.7,Exceptionnel,"Situé à Eguisheim, à moins de 800 mètres du marché de Noël d'Eguisheim, l'établissement Fleur de Vigne propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et un jardin. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/fleur-de-vignes-eguisheim.fr.html?label=gen173nr-1FCAQoggJCF3NlYXJjaF9lZ3Vpc2hlaW0gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuALIu9mGBsACAdICJDI5YWFlMjg3LTljMzItNGUyZC1hYTdjLWFiMmFhMTQ4MjdlNdgCBeACAQ;sid=f612a35a6bb9370bf30458d313ff82f0;dest_id=-1425030;dest_type=city;group_adults=2;group_children=0;hapos=3;hpos=3;no_rooms=1;sr_order=popularity;srepoch=1624661448;srpvid=142ba0a4bdab0042;ucfs=1&;selected_currency=EUR#topanchor,19.007142857142856,18.66,0.18,3.4857142857142853,0.8200000000000001
Bayeux,https://www.booking.com/searchresults.fr.html?ss=Bayeux+France,B&B / Chambre d'hôtes Manoir Sainte Victoire,49.276493,-0.7057596,9.7,Exceptionnel,"Doté d'un jardin et d'une connexion Wi-Fi gratuite, le Manoir Sainte Victoire propose des hébergements bien situés à Bayeux, à proximité du musée Baron Gérard, de la cathédrale Notre-Dame de Bayeux et...hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/manoir-sainte-victoire.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9iYXlldXggZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuALMuNmGBsACAdICJDk3OGExYzc1LTI3MmItNGMzMC1hNzdkLTE4NDlhZDRiZmVkNdgCBeACAQ;sid=04bf6709dc91691f4f7e3c77ba788019;dest_id=-1410836;dest_type=city;group_adults=2;group_children=0;hapos=8;hpos=8;no_rooms=1;sr_order=popularity;srepoch=1624661069;srpvid=d5f09fe6302901cd;ucfs=1&;selected_currency=EUR#topanchor,18.41142857142857,17.952857142857145,0.14714285714285716,3.2214285714285715,0.8528571428571429
Aigues Mortes,https://www.booking.com/searchresults.fr.html?ss=Aigues Mortes+France,Boutique Hôtel des Remparts & Spa,43.568035,4.190344,9.7,Exceptionnel,"Aménagé dans une ancienne base militaire datant du XVIIIe siècle, au sein des remparts médiévaux d'Aigues-Mortes, le Boutique Hôtel des Remparts & Spa est un établissement raffiné, doté d'un bar et...hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.fr.html?label=gen173nr-1FCAQoggJCG3NlYXJjaF9haWd1ZXMgbW9ydGVzIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCh8DZhgbAAgHSAiQ0ODI5MmVmYS00ODRlLTQ0ZDAtOGRmZS00YjkwYjU3MGVkODLYAgXgAgE;sid=7bbaeb98e81b82297af0da5c49ffdb68;dest_id=-1406800;dest_type=city;group_adults=2;group_children=0;hapos=11;hpos=11;no_rooms=1;sr_order=popularity;srepoch=1624662024;srpvid=2827a1c3739a0002;ucfs=1&;selected_currency=EUR#topanchor,21.66857142857143,21.574285714285715,0.6385714285714286,4.859999999999999,0.36142857142857143
St Malo,https://www.booking.com/searchresults.fr.html?ss=St Malo+France,Appartement Le Pilo,48.64899,-2.0256257,9.7,Exceptionnel,"Situé à Saint-Malo, à seulement 2,9 km de la plage de Rochebonne, l'établissement Le Pilo propose un hébergement en bord de mer avec connexion Wi-Fi gratuite. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/le-pilori.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9zdCBtYWxvIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCoLjZhgbAAgHSAiRlYmJlM2JkYS02MGJiLTQ0NzYtODdjMS04ZjAxMWE5YWZjMzjYAgXgAgE;sid=522da8aa669ca45ecdeba73426fb3a5d;dest_id=-1466824;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=20;hpos=20;no_rooms=1;sr_order=popularity;srepoch=1624661025;srpvid=eb8c9fd07f8800a9;ucfs=1&;selected_currency=EUR#topanchor,17.93285714285714,17.52857142857143,0.06857142857142857,2.884285714285714,0.9314285714285714
