location,url_location,hotel_name,hotel_lat,hotel_lon,hotel_scoring,scoring_comment,hotel_description,hotel_link,daily_temp_day,daily_temp_day_fl,daily_pop,daily_uvi,daily_pop_inv
Bormes les Mimosas,https://www.booking.com/searchresults.fr.html?ss=Bormes les Mimosas+France,Hotel La Voile,43.12549,6.3573,8.1,Très bien,"L'Hotel La Voile est idéalement situé à seulement 400 mètres des plages et du port de Bormes, dans un environnement calme et paisible à proximité du village de La Favière. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/hotel-la-voile-fr.fr.html?label=gen173nr-1FCAQoggJCIHNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuALtvdmGBsACAdICJGQwOTdhMDJhLTY5YmYtNDg3YS04NjE1LThjMGY3NjBlM2I5ZdgCBeACAQ;sid=b967946436a71f175fc646714deebc3b;dest_id=-1413801;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=3;hpos=3;no_rooms=1;sr_order=popularity;srepoch=1624661742;srpvid=b12ba13632110099;ucfs=1&;selected_currency=EUR#topanchor,23.078571428571426,23.047142857142855,0.5971428571428571,5.42,0.4028571428571429
Bormes les Mimosas,https://www.booking.com/searchresults.fr.html?ss=Bormes les Mimosas+France,Hostellerie du Cigalou - Les Collectionneurs,43.15196,6.3432837,8.0,Très bien,"Cet hôtel 3 étoiles est situé dans le village médiéval de Bormes-les-Mimosas, à seulement 25 minutes de route de Toulon. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/hostellerie-du-cigalou.fr.html?label=gen173nr-1FCAQoggJCIHNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuALtvdmGBsACAdICJGQwOTdhMDJhLTY5YmYtNDg3YS04NjE1LThjMGY3NjBlM2I5ZdgCBeACAQ;sid=b967946436a71f175fc646714deebc3b;dest_id=-1413801;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=4;hpos=4;no_rooms=1;sr_order=popularity;srepoch=1624661742;srpvid=b12ba13632110099;ucfs=1&;selected_currency=EUR#topanchor,23.078571428571426,23.047142857142855,0.5971428571428571,5.42,0.4028571428571429
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement La douceur de Cassis,43.215008,5.530956,9.4,Fabuleux ,"Situé à Cassis, à 200 mètres de Bestouan, l'établissement La douceur de Cassis vous propose un bar, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/la-douceur-de-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement appartement cosy à 10 mètres du port de Cassis,43.215336,5.536861,8.5,Très bien,"Situé à Cassis, à moins de 500 mètres des Bestouan et à 5 km du cap Canaille, l'appartement cosy à 10 mètres du port de Cassis propose des hébergements avec une connexion Wi-Fi gratuite, la...hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/appartement-cosy-a-10-metres-du-port-de-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=2;hpos=2;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement s HPC Suites,43.216442,5.5417457,9.2,Fabuleux ,"Offrant une vue sur la mer et installé au sein d'un parc de 4 000 m² dans le centre de Cassis, le HPC Suites possède une piscine extérieure commune entourée d'une terrasse. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/hpc-suites.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=3;hpos=3;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement s MISTRAL by K6 Conciergerie,43.21537,5.53719,8.4,Très bien,"Installé à Cassis, à 5 km du cap Canaille, le MISTRAL by K6 Conciergerie propose des hébergements avec la climatisation et une connexion Wi-Fi gratuite. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/mistral-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=4;hpos=4;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement SunSet Cassis,43.215454,5.535734,9.5,Exceptionnel,"Situé à Cassis, à moins de 400 mètres de Bestouan et à 6 km du cap Canaille, le SunSet Cassis propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation, un jardin et une terrasse. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/sunset-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=5;hpos=5;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement Cassis Ma Vie Là,43.216904,5.541446,9.5,Exceptionnel,"Situé à Cassis, à moins de 5 km du cap Canaille, le Cassis Ma Vie Là offre une vue sur le jardin. Cet hébergement climatisé se trouve à moins de 1 km de Bestouan. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/cassis-ma-vie-la.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=6;hpos=6;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement SunRise Cassis,43.215218,5.5356817,9.6,Exceptionnel,"Situé à Cassis, à moins de 400 mètres de Bestouan et à 6 km du cap Canaille, le SunRise Cassis propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation, un jardin et un casino. hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/sunrise-cassis.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=7;hpos=7;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis+France,Appartement appartement du pêcheur à Cassis à 10 mètres du port,43.21534,5.536858,8.8,Superbe,"Situé à Cassis, à 500 mètres des Bestouan et à 5 km du cap Canaille, l'appartement du pêcheur à Cassis à 10 mètres Le port propose un hébergement climatisé avec un balcon et une connexion Wi-Fi...hotel_descriptionPlus d'informations…hotel_description",https://www.booking.com/hotel/fr/appartement-du-pecheur-a-cassis-a-10-metres-du-port.fr.html?label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEO2AEB6AEB-AEDiAIBqAIEuAKQvtmGBsACAdICJDMwNGQ0ZDNmLTZiODQtNDNjMC1hZjlhLWM4YTgxNWE0MDhiMdgCBeACAQ;sid=d15d8097a83db96f4498fb1c39f08536;dest_id=-1416912;dest_type=city;from_beach_non_key_ufi_sr=1;group_adults=2;group_children=0;hapos=8;hpos=8;no_rooms=1;sr_order=popularity;srepoch=1624661777;srpvid=b81ba148181601be;ucfs=1&;selected_currency=EUR#topanchor,23.00857142857143,22.93142857142857,0.5857142857142856,5.384285714285714,0.41428571428571437
